correct_sentence,incorrect_sentence
مخلوق_کے_لیے_نہ_ہوں_اس_کا_جو_اب_یہ_ہے_کہ_نفس_کی_ہر_خواہش_مذموم_نہیں_ہے_اور_نہ_مخلوق_کے_لیے_ہر_زینت_مکروہ_ہے,مخلوق_کے_لیے_نہ_ہوں_اس_کا_جواب_یہ_ہے_کہ_نفس_کی_ہر_خواہش_مذموم_نہیں_ہے_اور_نہ_مخلوق_کے_لیے_ہر_زینت_مکروہ_ہے
البتہ_جن_لوگوں_نے_اس_کے_بعد_توبہ_اور_اصلاح_کر_لی_تو_بیشک_اللہ_بخشنے_والا_اور_رحم_فرمانے_والا_ہے,البتہ_جن_لوگوں_نے_اس_کے_بعد_توبہ_اور_اصلاح_کرلی_تو_بیشک_اللہ_بخشنے_والا_اور_رحم_فرمانے_والا_ہے
حضرت_ہود_علیہ_السلام_نے_ان_کو_بتایا_کہ_تم_جس_بادل_اور_بارش_کو_اپنی_راحت_کا_ذریعہ_سمجھ_رہے_وہ_اللہ_کا_عذاب_ہے_جو_تمہاری_طرف_بڑی_تیزی_سے_چلا_آرہا_ہے_اگر_اب_بھی_تم_نے_توبہ_نہ_کی_تو_یہ_عذاب_اتناسخت_ہو_گا_جو_تمہیں_اور_تمہاری_بستیوں_کو_تباہ_و_برباد_کرکے_رکھ_دے_گا,حضرت_ہود_علیہ_السلام_نے_ان_کو_بتایا_کہ_تم_جس_بادل_اور_بارش_کو_اپنی_راحت_کا_ذریعہ_سمجھ_رہے_وہ_اللہ_کا_عذاب_ہے_جو_تمہاری_طرف_بڑی_تیزی_سے_چلا_آرہا_ہے_اگر_اب_بھی_تم_نے_توبہ_نہ_کی_تو_یہ_عذاب_اتناسخت_ہوگا_جو_تمہیں_اور_تمہاری_بستیوں_کو_تباہ_و_برباد_کرکے_رکھ_دے_گا
اس_کو_چاہئے_کہ_بسم_اللہ_الرحمن_الرحیم_پڑھ_کر_شروع_کرے_بعض_ناواقف_یہ_سمجھتے_ہیں_کہ_سورۃ_توبہ_کی_تلاوت_میں_کسی_حال_بسم_اللہ_پڑھنا_جا_ئز_نہیں_یہ_غط_ہے_اور_اس_پر_دوسری_غلطی_یہ_ہے_کہ_بجا_ئے_بسم_اللہ_کے_یہ_لوگ_اس_کے_شروع_میں_اعوذ_باللہ_من_النار_پڑھتے_ہیں_جس_کا_کوئی_ثبوت_آنحضرت_صلی_اللہ_علیہ_وآلہ_وسلم_اور_صحابہ_کرام_سے_نہیں_ہے,اس_کو_چاہئے_کہ_بسم_اللہ_الرحمن_الرحیم_پڑھ_کر_شروع_کرے_بعض_ناواقف_یہ_سمجھتے_ہیں_کہ_سورۃ_توبہ_کی_تلاوت_میں_کسی_حال_بسم_اللہ_پڑھنا_جا_ئز_نہیں_یہ_غط_ہے_اور_اس_پر_دوسری_غلطی_یہ_ہے_کہ_بجائے_بسم_اللہ_کے_یہ_لوگ_اس_کے_شروع_میں_اعوذ_باللہ_من_النار_پڑھتے_ہیں_جس_کا_کوئی_ثبوت_آنحضرت_صلی_اللہ_علیہ_وآلہ_وسلم_اور_صحابہ_کرام_سے_نہیں_ہے
اور_بعض_علماء_نے_آیت__ما_اھل_لغیر_اللہ_بہ__کو_بھی_اس_میں_داخل_کر_لیا_ہے,اور_بعض_علماء_نے_آیت__ما_اھل_لغیر_اللہ_بہ__کو_بھی_اس_میں_داخل_کرلیا_ہے
جس_سے_بڑھ_کر_اخروی_اور_معنوی_اعزاز_کوئی_نہیں_ہو_سکتا,جس_سے_بڑھ_کر_اخروی_اور_معنوی_اعزاز_کوئی_نہیں_ہوسکتا
rn_اس_آیت_میں_صومعہ_کا_لفظ_راہب_قسم_کے_لوگوں_کے_عبادت_خانوں_کے_لئے_بیع_جمعہ_بیعہ_عیسائیوں_کی_عبادت_گاہ_یا_گرجا_کے_لئے_صلوت_یہودیوں_کی_عبادت_گاہوں_کے_لئے_اور_مساجد_مسلمانوں_کی_عبادت_گاہوں_کے_لئے_استعمال_ہوا_ہے_اور_اب_مسلمانوں_کو_جو_جہاد_و_قتال_کی_اجازت_دی_جا_رہی_ہے,rn_اس_آیت_میں_صومعہ_کا_لفظ_راہب_قسم_کے_لوگوں_کے_عبادت_خانوں_کے_لئے_بیع_جمعہ_بیعہ_عیسائیوں_کی_عبادت_گاہ_یا_گرجا_کے_لئے_صلوت_یہودیوں_کی_عبادت_گاہوں_کے_لئے_اور_مساجد_مسلمانوں_کی_عبادت_گاہوں_کے_لئے_استعمال_ہوا_ہے_اور_اب_مسلمانوں_کو_جو_جہاد_و_قتال_کی_اجازت_دی_جارہی_ہے
گواہ_مراد_یوم_قیامت_ہے_وہاں_تو_انبیاء_و_مومنین_کے_لئے_نصرت_الہیہ_کا_خصوصی_ظہور_ہو_گا,گواہ_مراد_یوم_قیامت_ہے_وہاں_تو_انبیاء_و_مومنین_کے_لئے_نصرت_الہیہ_کا_خصوصی_ظہور_ہوگا
بلکہ_ہر_ایک_کو_خیر_یا_شر_میں_سے_وہی_ملے_گا_جس_کا_وہ_مستحق_ہو_گا,بلکہ_ہر_ایک_کو_خیر_یا_شر_میں_سے_وہی_ملے_گا_جس_کا_وہ_مستحق_ہوگا
امر_کے_بجا_ئے_استفہام_سے_خطاب_فرمایا_اور_اس_میں_یہ_اشارہ_ہے_کہ_آپ_کا_مخاطب_بہت_ضدی_اور_ہٹ_دھرم_ہے_اور_وہ_انصاف_پسند_نہیں_ہے_کیونکہ_منصف_مزاج_شخص_کے_سامنے_جب_کوئی_چیز_دلیل_سے_ثابت_ہوجائے_تو_پھر_وہ_حیل_وحجت_نہیں_کرتا_اور_فورا_قبول_کرلیتا_ہے,امر_کے_بجائے_استفہام_سے_خطاب_فرمایا_اور_اس_میں_یہ_اشارہ_ہے_کہ_آپ_کا_مخاطب_بہت_ضدی_اور_ہٹ_دھرم_ہے_اور_وہ_انصاف_پسند_نہیں_ہے_کیونکہ_منصف_مزاج_شخص_کے_سامنے_جب_کوئی_چیز_دلیل_سے_ثابت_ہوجائے_تو_پھر_وہ_حیل_وحجت_نہیں_کرتا_اور_فورا_قبول_کرلیتا_ہے
وہ_اللہ_ہی_ہے_جس_نے_تمہیں_ایک_جان_سے_پیدا_کیا_اور_اسی_کی_جنس_سے_اس_کا_جوڑا_بنایا_تاکہ_اس_کے_پاس_سکون_حاصل_کرے_پھر_جب_مرد_نے_عورت_کو_ڈھانک_لیا_تو_اسے_ایک_خفیف_سا_حمل_رہ_گیا_جسے_لیے_لیے_وہ_چلتی_پھرتی_رہی_پھر_جب_وہ_بوجھل_ہوگئی_تو_دونوں_نے_مل_کر_اللہ_اپنے_رب_سے_دعا_کی_کہ_اگر_تو_نے_ہم_کو_اچھا_سا_بچہ_دیا_تو_ہم_تیرے_شکر_گزار_ہوں_گے,وہ_اللہ_ہی_ہے_جس_نے_تمہیں_ایک_جان_سے_پیدا_کیا_اور_اسی_کی_جنس_سے_اس_کا_جوڑا_بنایا_تاکہ_اس_کے_پاس_سکون_حاصل_کرے_پھر_جب_مرد_نے_عورت_کو_ڈھانک_لیا_تو_اسے_ایک_خفیف_سا_حمل_رہ_گیا_جسے_لیے_لیے_وہ_چلتی_پھرتی_رہی_پھر_جب_وہ_بوجھل_ہوگئی_تو_دونوں_نے_مل_کر_اللہ_اپنے_رب_سے_دعا_کی_کہ_اگر_تونے_ہم_کو_اچھا_سا_بچہ_دیا_تو_ہم_تیرے_شکر_گزار_ہوں_گے
rn_اس_تفصیل_میں_لفظ_اثم_کے_تحت_وہ_تمام_گناہ_آ_گئے_جن_کا_تعلق_انسان_کی_اپنی_ذات_سے_ہے_اور_بغی_میں_وہ_گناہ_جن_کا_تعلق_دوسروں_کے_معاملات_اور_حقوق_سے_ہو_اور_شرک_اور_افتراء_علی_اللہ_یہ_عقیدہ_کا_گناہ_عظیم_ظاہری_ہے,rn_اس_تفصیل_میں_لفظ_اثم_کے_تحت_وہ_تمام_گناہ_آگئے_جن_کا_تعلق_انسان_کی_اپنی_ذات_سے_ہے_اور_بغی_میں_وہ_گناہ_جن_کا_تعلق_دوسروں_کے_معاملات_اور_حقوق_سے_ہو_اور_شرک_اور_افتراء_علی_اللہ_یہ_عقیدہ_کا_گناہ_عظیم_ظاہری_ہے
المبسوط__ج_۱۲_ص_۱۹۶_مطبوعہ_دارالمعرفہ__بیروت__۱۳۹۸_ھ_rn_۲_اگر_بعض_پھلوں_کے_بور_کا_ظہور_ہو_گیا_ہو_اور_بعض_یا_اکثر_کا_ظہورنہ_ہوا_ہو_تو_جن_کا_ظہور_ہو_گیا_ہے,المبسوط__ج_۱۲_ص_۱۹۶_مطبوعہ_دارالمعرفہ__بیروت__۱۳۹۸_ھ_rn_۲_اگر_بعض_پھلوں_کے_بور_کا_ظہور_ہوگیا_ہو_اور_بعض_یا_اکثر_کا_ظہورنہ_ہوا_ہو_تو_جن_کا_ظہور_ہوگیا_ہے
یعنی_حضرت_موسی_علیہ_السلام_کی_باتیں_سن_کر_ہٹا_تو_ان_کو_شکست_دینے_کی_سرگرمیوں_میں_مصروف_ہوگیا_قرآن_کے_دوسرے_مقامات_میں_ان_سرگرمیوں_کی_تفصیل_موجود_ہے_اس_نے_چاہا_کہ_جادوگروں_سے_مقابلہ_کراکر_حضرت_موسی_علیہ_السلام_اور_حضرت_ہارون_علیہ_السلام_کو_شکست_دی_جائے_لیکن_درباریوں_سے_مشورہ_کیا_تو_انہوں_نے_یہ_رائے_دی_کہ_یہ_دونوں_موسی_اور_ہارون_علیہ_السلام_بڑے_ماہر_جادوگر_ہیں_عام_جادوگروں_سے_ان_کا_مقابلہ_کرنا_شکست_اور_جگ_ہنسائی_کا_سبب_ہو_سکتا_ہے_بہتر_ہے_کہ_مملکت_کے_تمام_اطراف_کے_ماہر_جادوگروں_کو_دعوت_دی_جائے_اور_ایک_کھلے_میدان_میں_ان_دونوں_سے_ان_کا_مقابلہ_کرایا_جائے_چناچہ_اس_مشورے_پر_عمل_کیا_گیا_لیکن_اس_کا_نتیجہ_شدید_ناکامی_کی_صورت_میں_نکلا,یعنی_حضرت_موسی_علیہ_السلام_کی_باتیں_سن_کر_ہٹا_تو_ان_کو_شکست_دینے_کی_سرگرمیوں_میں_مصروف_ہوگیا_قرآن_کے_دوسرے_مقامات_میں_ان_سرگرمیوں_کی_تفصیل_موجود_ہے_اس_نے_چاہا_کہ_جادوگروں_سے_مقابلہ_کراکر_حضرت_موسی_علیہ_السلام_اور_حضرت_ہارون_علیہ_السلام_کو_شکست_دی_جائے_لیکن_درباریوں_سے_مشورہ_کیا_تو_انہوں_نے_یہ_رائے_دی_کہ_یہ_دونوں_موسی_اور_ہارون_علیہ_السلام_بڑے_ماہر_جادوگر_ہیں_عام_جادوگروں_سے_ان_کا_مقابلہ_کرنا_شکست_اور_جگ_ہنسائی_کا_سبب_ہوسکتا_ہے_بہتر_ہے_کہ_مملکت_کے_تمام_اطراف_کے_ماہر_جادوگروں_کو_دعوت_دی_جائے_اور_ایک_کھلے_میدان_میں_ان_دونوں_سے_ان_کا_مقابلہ_کرایا_جائے_چناچہ_اس_مشورے_پر_عمل_کیا_گیا_لیکن_اس_کا_نتیجہ_شدید_ناکامی_کی_صورت_میں_نکلا
پھر_اللہ_تعالی_نے_فرمایا_جس_عذاب_کو_وہ_جلد_طلب_کر_رہے_ہیں,پھر_اللہ_تعالی_نے_فرمایا_جس_عذاب_کو_وہ_جلد_طلب_کررہے_ہیں
رشتہ_داروں_مسکینوں_اور_مسافروں_پر_مال_خرچ_کرنے_کا_حکم_فرمانے_کے_بعد_فضول_خرچی_اور_بے_جا_مال_اڑانے_سے_منع_فرمایا_سخاوت_تو_شریعت_اسلامیہ_میں_محمود_ہے_لیکن_مال_کو_ضائع_کرنا_بے_جا_اڑانا_فضول_خرچی_کرنا_ممنوع_ہے_بہت_سے_لوگ_گناہوں_میں_خرچ_کردیتے_ہیں_اور_بیوی_بچوں_کی_فرمائشوں_میں_بے_جا_مال_صرف_کرتے_ہیں_اور_اس_کے_لیے_اپنے_سر_قرضے_تھوپتے_رہتے_ہیں_جن_میں_بعض_مرتبہ_سود_کا_لین_دین_بھی_کر_بیٹھتے_ہیں_اور_اپنی_جان_کو_مصیبت_میں_ڈال_دیتے_ہیں,رشتہ_داروں_مسکینوں_اور_مسافروں_پر_مال_خرچ_کرنے_کا_حکم_فرمانے_کے_بعد_فضول_خرچی_اور_بےجا_مال_اڑانے_سے_منع_فرمایا_سخاوت_تو_شریعت_اسلامیہ_میں_محمود_ہے_لیکن_مال_کو_ضائع_کرنا_بےجا_اڑانا_فضول_خرچی_کرنا_ممنوع_ہے_بہت_سے_لوگ_گناہوں_میں_خرچ_کردیتے_ہیں_اور_بیوی_بچوں_کی_فرمائشوں_میں_بےجا_مال_صرف_کرتے_ہیں_اور_اس_کے_لیے_اپنے_سر_قرضے_تھوپتے_رہتے_ہیں_جن_میں_بعض_مرتبہ_سود_کا_لین_دین_بھی_کر_بیٹھتے_ہیں_اور_اپنی_جان_کو_مصیبت_میں_ڈال_دیتے_ہیں
یہی_بصیرت_انسان_کا_اصل_جو_ہر_ہے,یہی_بصیرت_انسان_کا_اصل_جوہر_ہے
۶۷_معبودان_باطل_کی_دنیا_اور_آخرت_میں_بے_بسی,۶۷_معبودان_باطل_کی_دنیا_اور_آخرت_میں_بےبسی
اور_جب_نبی_صلی_اللہ_علیہ_وآلہ_وسلم_نے_اپنی_بیویوں_میں_سے_کسی_بیوی_سے_چپکے_سے_رازداری_کے_ساتھ_ایک_بات_کہی_پھر_جب_اس_بیوی_نے_وہ_راز_کی_بات_دوسری_سے_کہہ_دی_اور_اللہ_نے_ان_کو_اپنے_پیغمبر_کو_اس_کی_اطلاع_دیدی_تو_پیغمبر_نے_اس_راز_کھولنے_والی_بیوی_کو_بات_کا_کچھ_حصہ_تو_جتا_دیا_اور_کچھ_کو_نظر_انداز_کردیا_پھر_جب_اللہ_کے_نبی_نے__اس_بیوی_کو_بتایا_تو_وہ_تعجب_سے_کہنے_لگیں_کہ_میرا_اس_پوشیدہ_بات_کو_ظاہر_کردینا_آپ_کو_کس_نے_بتا_دیا_نبی_صلی_اللہ_علیہ_وآلہ_وسلم_نے__کہا_مجھے_بڑے_علم_جاننے_والے_نے_بتا_دیا_جو_ہر_بات_کی_خبر_رکھتا_ہے,اور_جب_نبی_صلی_اللہ_علیہ_وآلہ_وسلم_نے_اپنی_بیویوں_میں_سے_کسی_بیوی_سے_چپکے_سے_رازداری_کے_ساتھ_ایک_بات_کہی_پھر_جب_اس_بیوی_نے_وہ_راز_کی_بات_دوسری_سے_کہہ_دی_اور_اللہ_نے_ان_کو_اپنے_پیغمبر_کو_اس_کی_اطلاع_دیدی_تو_پیغمبر_نے_اس_راز_کھولنے_والی_بیوی_کو_بات_کا_کچھ_حصہ_تو_جتا_دیا_اور_کچھ_کو_نظرانداز_کردیا_پھر_جب_اللہ_کے_نبی_نے__اس_بیوی_کو_بتایا_تو_وہ_تعجب_سے_کہنے_لگیں_کہ_میرا_اس_پوشیدہ_بات_کو_ظاہر_کردینا_آپ_کو_کس_نے_بتا_دیا_نبی_صلی_اللہ_علیہ_وآلہ_وسلم_نے__کہا_مجھے_بڑے_علم_جاننے_والے_نے_بتا_دیا_جو_ہر_بات_کی_خبر_رکھتا_ہے
وہ_تولے_جائیں_گے_امام_تفسیر_ابن_کثیر_رحمۃ_اللہ_علیہ_نے_یہ_سب_روایات_نقل_کرنے_کے_بعد_فرمایا_کہ_یہ_ہوسکتا_ہے_کہ_وزن_مختلف_صورتوں_سے_کئی_مرتبہ_کیا_جائے_اور_ظاہر_ہے_کہ_پوری_حقیقت_ان_معاملات_کی_اللہ_تعالی_ہی_جانتے_ہیں_اور_عمل_کرنے_کے_لئے_اس_حقیقت_کا_جاننا_ضروری_بھی_نہیں_صرف_اتنا_کا_فی_ہے_کہ_ہمارے_اعمال_کا_وزن_ہوگا_نیک_اعمال_کا_پلہ_ہلکا_رہا_تو_عذاب_کے_مستحق_ہوں,وہ_تولے_جائیں_گے_امام_تفسیر_ابن_کثیر_رحمۃ_اللہ_علیہ_نے_یہ_سب_روایات_نقل_کرنے_کے_بعد_فرمایا_کہ_یہ_ہوسکتا_ہے_کہ_وزن_مختلف_صورتوں_سے_کئی_مرتبہ_کیا_جائے_اور_ظاہر_ہے_کہ_پوری_حقیقت_ان_معاملات_کی_اللہ_تعالی_ہی_جانتے_ہیں_اور_عمل_کرنے_کے_لئے_اس_حقیقت_کا_جاننا_ضروری_بھی_نہیں_صرف_اتنا_کافی_ہے_کہ_ہمارے_اعمال_کا_وزن_ہوگا_نیک_اعمال_کا_پلہ_ہلکا_رہا_تو_عذاب_کے_مستحق_ہوں
وہ_یہ_تو_تسلیم_کرتے_ہیں_کہ_اللہ_وحدہ_ہی_خالق_کائنات_خالق_ارض_و_سما_مسخر_شمس_و_قمر_ہے_اور_وہی_ہے_جو_آسمانوں_سے_پانی_اتارتا_ہے_جس_سے_یہ_زمین_مردہ_ہونے_کے_بعد_زندہ_ہو_جاتی_ہے,وہ_یہ_تو_تسلیم_کرتے_ہیں_کہ_اللہ_وحدہ_ہی_خالق_کائنات_خالق_ارض_و_سما_مسخر_شمس_و_قمر_ہے_اور_وہی_ہے_جو_آسمانوں_سے_پانی_اتارتا_ہے_جس_سے_یہ_زمین_مردہ_ہونے_کے_بعد_زندہ_ہوجاتی_ہے
ظاہر_ہونے_والی_کیونکہ_دوزخ_کی_آگ_پانچ_سو_سال_کی_مسافت_سے_لوگوں_پر_ظاہر_ہو_جائے_گی_قرآن_مجید_میں_ہے,ظاہر_ہونے_والی_کیونکہ_دوزخ_کی_آگ_پانچ_سو_سال_کی_مسافت_سے_لوگوں_پر_ظاہر_ہوجائے_گی_قرآن_مجید_میں_ہے
اب_یہ_لادینی_نظام_چاہے_اپنی_اصل_میں_الہی_دین_ہو_اور_اس_کے_اندر_انحراف_ہو_گیا_ہو_یا_وہ_بت_پرستانہ_دین_ہو_اور_اپنی_بت_پرستی_قائم_ہو_یا_الحاد_ہو_اور_سرے_سے_تمام_ادیان_کا_منکر_ہو__اور_ان_کے_درمیان_حلیفانہ_معاہدہ_ہو_گیا_ہو__لیکن_یہ_تمام_لادین_دین_اسلام_سے_متضاد_ہیں_اور_ان_کے_اور_اسلام_کے_درمیان_کوئی_حلیفانہ_تعلق_قائم_نہیں_ہو_سکتا_اور_نہ_ان_کے_درمیان_دوستی_ہو_سکتی_ہے,اب_یہ_لادینی_نظام_چاہے_اپنی_اصل_میں_الہی_دین_ہو_اور_اس_کے_اندر_انحراف_ہوگیا_ہو_یا_وہ_بت_پرستانہ_دین_ہو_اور_اپنی_بت_پرستی_قائم_ہو_یا_الحاد_ہو_اور_سرے_سے_تمام_ادیان_کا_منکر_ہو__اور_ان_کے_درمیان_حلیفانہ_معاہدہ_ہوگیا_ہو__لیکن_یہ_تمام_لادین_دین_اسلام_سے_متضاد_ہیں_اور_ان_کے_اور_اسلام_کے_درمیان_کوئی_حلیفانہ_تعلق_قائم_نہیں_ہو_سکتا_اور_نہ_ان_کے_درمیان_دوستی_ہو_سکتی_ہے
کافروں_نے_تیر_مارنے_شروع_کیے_اور_حضرت_عاصم_کو_شہید_کردیا_اور_تین_صحابہ_ان_کی_امان_کے_وعدہ_پر_ان_کے_پاس_آ_گئے,کافروں_نے_تیر_مارنے_شروع_کیے_اور_حضرت_عاصم_کو_شہید_کردیا_اور_تین_صحابہ_ان_کی_امان_کے_وعدہ_پر_ان_کے_پاس_آگئے
آپ_پوچھئے_کہ_آسمانوں_اور_زمین_کا_پروردگار_کون_ہے_کہہ_دیجئے__اللہ_1_کہہ_دیجئے__کیا_تم_پھر_بھی_اس_کے_سوا_اور_کو_حمایتی_بنا_رہے_ہو_جو_خود_بھی_اپنی_جان_کے_بھلے_برے_کا_اختیار_نہیں_رکھتے_2_کہہ_دیجئے_کہ_اندھا_اور_بینا_برابر_ہو_سکتا_ہے_یا_کیا_اندھیری_اور_روشنی_برابر_ہوسکتی_ہیں_3_کیا_جنہیں_یہ_اللہ_کا_شریک_ٹھرا_رہے_ہیں_انہوں_نے_بھی_اللہ_کی_طرح_مخلوق_پیدا_کی_ہے_کہ_ان_کی_نظر_میں_پیدائش_مشتبہ_ہوگئی_ہو_کہہ_دیجئے_کہ_صرف_اللہ_ہی_تمام_چیزوں_کا_خالق_ہے_وہ_اکیلا_ہے_4_اور_زبردست_غالب_ہے,آپ_پوچھئے_کہ_آسمانوں_اور_زمین_کا_پروردگار_کون_ہے_کہہ_دیجئے__اللہ_1_کہہ_دیجئے__کیا_تم_پھر_بھی_اس_کے_سوا_اور_کو_حمایتی_بنا_رہے_ہو_جو_خود_بھی_اپنی_جان_کے_بھلے_برے_کا_اختیار_نہیں_رکھتے_2_کہہ_دیجئے_کہ_اندھا_اور_بینا_برابر_ہوسکتا_ہے_یا_کیا_اندھیری_اور_روشنی_برابر_ہوسکتی_ہیں_3_کیا_جنہیں_یہ_اللہ_کا_شریک_ٹھرا_رہے_ہیں_انہوں_نے_بھی_اللہ_کی_طرح_مخلوق_پیدا_کی_ہے_کہ_ان_کی_نظر_میں_پیدائش_مشتبہ_ہوگئی_ہو_کہہ_دیجئے_کہ_صرف_اللہ_ہی_تمام_چیزوں_کا_خالق_ہے_وہ_اکیلا_ہے_4_اور_زبردست_غالب_ہے
سورۃ_یسین_میں_فرمایا_انما_امرہ_اذا_اراد_شیءا_ان_یقول_لہ_کن_فیکون__اللہ_کا_امر_یہی_ہے_کہ_جب_کسی_چیز_کا_ارادہ_فرماتے_ہیں_تو_کن_فرما_دیتے_ہیں_تو_وہ_ہوجاتی_ہے_سورۃ_آل_عمران_میں_ہے_کہ_جب_فرشتوں_نے_حضرت_مریم__کو_خوشخبری_دی_کہ_تمہارا_بیٹا_پیدا_ہو_گا_تو_انہوں_نے_کہا_میرے_اولاد_کہاں_سے_ہوگی_مجھے_تو_کسی_انسان_نے_چھوا_تک_نہیں_تو_اس_کے_جواب_میں_اللہ_تعالی_نے_فرمایا_کذلک_اللہ_یخلق_ما_یشآء_اذا_قضآی_امرا_فانمایقول_لہ_کن_فیکون__ایسے_ہی_ہو_گا_اللہ_تعالی_پیدا_فرماتا_ہے_جو_چاہے_جب_وہ_کسی_امر_کا_فیصلہ_فرماتا_ہے_تو_بس_ان_کو_کن_فرما_دیتا_ہے,سورۃ_یسین_میں_فرمایا_انما_امرہ_اذا_اراد_شیءا_ان_یقول_لہ_کن_فیکون__اللہ_کا_امر_یہی_ہے_کہ_جب_کسی_چیز_کا_ارادہ_فرماتے_ہیں_تو_کن_فرما_دیتے_ہیں_تو_وہ_ہوجاتی_ہے_سورۃ_آل_عمران_میں_ہے_کہ_جب_فرشتوں_نے_حضرت_مریم__کو_خوشخبری_دی_کہ_تمہارا_بیٹا_پیدا_ہوگا_تو_انہوں_نے_کہا_میرے_اولاد_کہاں_سے_ہوگی_مجھے_تو_کسی_انسان_نے_چھوا_تک_نہیں_تو_اس_کے_جواب_میں_اللہ_تعالی_نے_فرمایا_کذلک_اللہ_یخلق_ما_یشآء_اذا_قضآی_امرا_فانمایقول_لہ_کن_فیکون__ایسے_ہی_ہوگا_اللہ_تعالی_پیدا_فرماتا_ہے_جو_چاہے_جب_وہ_کسی_امر_کا_فیصلہ_فرماتا_ہے_تو_بس_ان_کو_کن_فرما_دیتا_ہے
منافقین_کی_شرارتوں_اور_ان_کی_عداوت_اور_دشمنی_کو_واشگاف_کرنے_کے_بعدحضور_صلی_اللہ_علیہ_وآلہ_وسلم_سے_فرمایا_کہ_یہ_لوگ_اس_لائق_ہی_نہیں_ہیں_کہ_آپ_کی_صحبت_میں_رہیں_لہذا_جب_آپ_بخیر_و_عافیت_مدینہ_واپس_پہنچ_جائیں_اور_اس_کے_بعد_کوئی_جنگ_درپیش_ہو_اور_یہ_منافقین_اس_میں_شریک_ہونے_کے_لیے_آپ_سے_اجازت_مانگیں_تو_آپ_ان_کو_غزوہ_میں_شریک_ہونے_کی_ہرگز_اجازت_نہ_دیں_اور_صاف_فرمادیں_کہ_اب_کبھی_بھی_تم_ہمارے_ساتھ_جہاد_میں_شریک_نہیں_ہو_سکتے,منافقین_کی_شرارتوں_اور_ان_کی_عداوت_اور_دشمنی_کو_واشگاف_کرنے_کے_بعدحضور_صلی_اللہ_علیہ_وآلہ_وسلم_سے_فرمایا_کہ_یہ_لوگ_اس_لائق_ہی_نہیں_ہیں_کہ_آپ_کی_صحبت_میں_رہیں_لہذا_جب_آپ_بخیر_و_عافیت_مدینہ_واپس_پہنچ_جائیں_اور_اس_کے_بعد_کوئی_جنگ_درپیش_ہو_اور_یہ_منافقین_اس_میں_شریک_ہونے_کے_لیے_آپ_سے_اجازت_مانگیں_تو_آپ_ان_کو_غزوہ_میں_شریک_ہونے_کی_ہرگز_اجازت_نہ_دیں_اور_صاف_فرمادیں_کہ_اب_کبھی_بھی_تم_ہمارے_ساتھ_جہاد_میں_شریک_نہیں_ہوسکتے
rn_سماع_موتی_کے_دلائل_اور_ان_کا_جو_اب__قائلین_سماع_موتی_کی_سب_سے_قوی_دلیل_قلیب_بدر_والی_حدیث_ہے_جو_صحیحین_میں_ہے,rn_سماع_موتی_کے_دلائل_اور_ان_کا_جواب__قائلین_سماع_موتی_کی_سب_سے_قوی_دلیل_قلیب_بدر_والی_حدیث_ہے_جو_صحیحین_میں_ہے
حضرت_یعقوب_علیہ_السلام_نے_انہیں_جو_اب_دیا_کہ_میں_تم_سے_تو_کچھ_نہیں_کہہ_رہا_میں_تو_اپنے_رب_کے_پاس_اپنا_دکھ_رو_رہا_ہوں,حضرت_یعقوب_علیہ_السلام_نے_انہیں_جواب_دیا_کہ_میں_تم_سے_تو_کچھ_نہیں_کہہ_رہا_میں_تو_اپنے_رب_کے_پاس_اپنا_دکھ_رو_رہا_ہوں
اور_جب_مشرکین_اپنے_شریکوں_کو_دیکھیں_گے_تو_کہیں_گے___اے_ہمارے_پروردگار__یہ_ہیں_ہمارے_خود_ساختہ_شریک_جنہیں_ہم_تجھے_چھوڑ_کر_پکارا_کرتے_تھے__اس_پر_وہ_شریک_انھیں_صاف_جو_اب_دیں_گے_کہ__تم_یقینا_جھوٹے_۸۷_ہو,اور_جب_مشرکین_اپنے_شریکوں_کو_دیکھیں_گے_تو_کہیں_گے___اے_ہمارے_پروردگار__یہ_ہیں_ہمارے_خود_ساختہ_شریک_جنہیں_ہم_تجھے_چھوڑ_کر_پکارا_کرتے_تھے__اس_پر_وہ_شریک_انھیں_صاف_جواب_دیں_گے_کہ__تم_یقینا_جھوٹے_۸۷_ہو
اگر_کوئی_اس_کے_سوا_کوئی_اور_بات_کرتا_ہے_یا_کوئی_اور_طرز_عمل_اختیار_کرتا_ہے_تو_یہ_فعل_اس_کا_اپنا_ہو_گا_لیکن_اسے_یہ_معلوم_ہونا_چاہئے_کہ_وہ_اپنے_اس_طرز_عمل_کے_سبب_دین_اسلام_سے_خارج_بھی_ہو_سکتا_ہے,اگر_کوئی_اس_کے_سوا_کوئی_اور_بات_کرتا_ہے_یا_کوئی_اور_طرز_عمل_اختیار_کرتا_ہے_تو_یہ_فعل_اس_کا_اپنا_ہوگا_لیکن_اسے_یہ_معلوم_ہونا_چاہئے_کہ_وہ_اپنے_اس_طرز_عمل_کے_سبب_دین_اسلام_سے_خارج_بھی_ہو_سکتا_ہے
